3.282744724723284380e-01 -3.767071657346195979e-01 -3.446543827703851814e-01
3.315269227265630891e-01 -3.734547154803848357e-01 -2.981581452818069522e-01
3.337981347679256916e-01 -3.711835034390223997e-01 -2.497580386775646033e-01
3.350728293270172631e-01 -3.699088088799310503e-01 -2.004382709702443310e-01
3.356118137820451319e-01 -3.693698244249029594e-01 -1.508045328201663704e-01
3.356883629858303242e-01 -3.692932752211179337e-01 -1.012929030701128774e-01
3.355092276233957449e-01 -3.694724105835524575e-01 -5.224054072175670499e-02
3.352109882867760904e-01 -3.697706499201719454e-01 -3.908014817407732232e-03
3.348759877699034049e-01 -3.701056504370447975e-01 4.351035316255297269e-02
3.345503408461861228e-01 -3.704312973607620241e-01 8.987721579577344355e-02
3.342579797283670162e-01 -3.707236584785812417e-01 1.351023462577833067e-01
3.340093559551622349e-01 -3.709722822517860785e-01 1.791330488620050676e-01
3.338072493996021572e-01 -3.711743888073459896e-01 2.219455428083794146e-01
3.336506379985915149e-01 -3.713310002083566874e-01 2.635375897551491264e-01
3.335361880520699707e-01 -3.714454501548781762e-01 3.039226816905398754e-01
3.334597501558006494e-01 -3.715218880511475530e-01 3.431253572316689260e-01
3.334170142155652439e-01 -3.715646239913828475e-01 3.811777393908082345e-01
3.334039732546751345e-01 -3.715776649522730124e-01 4.181168252846398925e-01
3.334169028207705221e-01 -3.715647353861776248e-01 4.539825176254591033e-01
